AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|0.2|0.5|0.3|25|XI(a) Adrenocortical carcinomas|79572057|2010-2014
10-14|0.1|0.3|0.2|21|XI(a) Adrenocortical carcinomas|102487592|2010-2014
15-19|0.2|0.4|0.3|28|XI(a) Adrenocortical carcinomas|106407418|2010-2014
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|101312556|2010-2014
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|19546092|2010-2014
1-4|0.1|0.4|0.2|19|XI(b) Thyroid carcinomas|79572057|2010-2014
10-14|7.7|8.9|8.3|848|XI(b) Thyroid carcinomas|102487592|2010-2014
15-19|26.7|28.7|27.6|2942|XI(b) Thyroid carcinomas|106407418|2010-2014
5-9|1.2|1.7|1.4|144|XI(b) Thyroid carcinomas|101312556|2010-2014
<1|~|~|~|~|XI(b) Thyroid carcinomas|19546092|2010-2014
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|79572057|2010-2014
10-14|0.5|0.9|0.7|71|XI(c) Nasopharyngeal carcinomas|102487592|2010-2014
15-19|1.1|1.6|1.3|141|XI(c) Nasopharyngeal carcinomas|106407418|2010-2014
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|101312556|2010-2014
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19546092|2010-2014
1-4|0.9|1.4|1.1|90|XI(d) Malignant melanomas|79572057|2010-2014
10-14|2.5|3.1|2.8|284|XI(d) Malignant melanomas|102487592|2010-2014
15-19|10.0|11.2|10.6|1125|XI(d) Malignant melanomas|106407418|2010-2014
5-9|1.6|2.1|1.8|183|XI(d) Malignant melanomas|101312556|2010-2014
<1|2.7|4.4|3.4|67|XI(d) Malignant melanomas|19546092|2010-2014
1-4|~|~|~|~|XI(e) Skin carcinomas|79572057|2010-2014
10-14|~|~|~|~|XI(e) Skin carcinomas|102487592|2010-2014
15-19|0.1|0.3|0.2|18|XI(e) Skin carcinomas|106407418|2010-2014
5-9|~|~|~|~|XI(e) Skin carcinomas|101312556|2010-2014
<1|~|~|~|~|XI(e) Skin carcinomas|19546092|2010-2014
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|79572057|2010-2014
10-14|4.4|5.2|4.8|492|XI(f) Other and unspecified carcinomas|102487592|2010-2014
15-19|12.6|14.0|13.3|1412|XI(f) Other and unspecified carcinomas|106407418|2010-2014
5-9|0.9|1.4|1.1|116|XI(f) Other and unspecified carcinomas|101312556|2010-2014
<1|1.3|2.5|1.8|36|XI(f) Other and unspecified carcinomas|19546092|2010-2014
1-4|0.8|1.2|1.0|79|XII Other and unspecified malignant neoplasms|79572057|2010-2014
10-14|0.4|0.7|0.6|58|XII Other and unspecified malignant neoplasms|102487592|2010-2014
15-19|0.8|1.2|1.0|108|XII Other and unspecified malignant neoplasms|106407418|2010-2014
5-9|0.1|0.3|0.2|22|XII Other and unspecified malignant neoplasms|101312556|2010-2014
<1|1.7|3.1|2.3|45|XII Other and unspecified malignant neoplasms|19546092|2010-2014
1-4|0.6|1.0|0.8|60|XII(a) Other specified malignant tumors|79572057|2010-2014
10-14|0.2|0.4|0.2|25|XII(a) Other specified malignant tumors|102487592|2010-2014
15-19|0.3|0.6|0.4|46|XII(a) Other specified malignant tumors|106407418|2010-2014
5-9|~|~|~|~|XII(a) Other specified malignant tumors|101312556|2010-2014
<1|0.6|1.6|1.0|20|XII(a) Other specified malignant tumors|19546092|2010-2014
1-4|0.1|0.4|0.2|19|XII(b) Other unspecified malignant tumors|79572057|2010-2014
10-14|0.2|0.5|0.3|33|XII(b) Other unspecified malignant tumors|102487592|2010-2014
15-19|0.4|0.7|0.6|62|XII(b) Other unspecified malignant tumors|106407418|2010-2014
5-9|0.1|0.3|0.2|17|XII(b) Other unspecified malignant tumors|101312556|2010-2014
<1|0.8|1.9|1.3|25|XII(b) Other unspecified malignant tumors|19546092|2010-2014
1-4|224.9|239.9|232.3|3721|All ICCC Groups Combined|16014682|2011
10-14|135.7|146.0|140.8|2891|All ICCC Groups Combined|20532278|2011
15-19|217.0|229.6|223.2|4797|All ICCC Groups Combined|21488037|2011
5-9|128.0|138.2|133.0|2681|All ICCC Groups Combined|20152417|2011
<1|243.3|275.3|258.9|1017|All ICCC Groups Combined|3927716|2011
1-4|88.7|98.3|93.4|1496|I Leukemias, myeloproliferative & myelodysplastic diseases|16014682|2011
10-14|30.6|35.7|33.1|679|I Leukemias, myeloproliferative & myelodysplastic diseases|20532278|2011
15-19|31.6|36.6|34.0|731|I Leukemias, myeloproliferative & myelodysplastic diseases|21488037|2011
5-9|42.7|48.7|45.7|920|I Leukemias, myeloproliferative & myelodysplastic diseases|20152417|2011
<1|43.4|57.7|50.2|197|I Leukemias, myeloproliferative & myelodysplastic diseases|3927716|2011
1-4|74.0|82.7|78.2|1253|I(a) Lymphoid leukemias|16014682|2011
10-14|19.8|23.8|21.7|446|I(a) Lymphoid leukemias|20532278|2011
15-19|16.0|19.6|17.7|380|I(a) Lymphoid leukemias|21488037|2011
5-9|35.0|40.4|37.6|758|I(a) Lymphoid leukemias|20152417|2011
<1|15.7|24.8|19.9|78|I(a) Lymphoid leukemias|3927716|2011
1-4|9.1|12.3|10.6|170|I(b) Acute myeloid leukemias|16014682|2011
10-14|5.6|7.9|6.7|138|I(b) Acute myeloid leukemias|20532278|2011
15-19|8.8|11.6|10.1|218|I(b) Acute myeloid leukemias|21488037|2011
5-9|3.9|5.9|4.8|97|I(b) Acute myeloid leukemias|20152417|2011
<1|12.5|20.8|16.3|64|I(b) Acute myeloid leukemias|3927716|2011
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|16014682|2011
10-14|2.0|3.5|2.7|55|I(c) Chronic myeloproliferative diseases|20532278|2011
15-19|3.0|4.7|3.8|82|I(c) Chronic myeloproliferative diseases|21488037|2011
5-9|0.6|1.5|1.0|20|I(c) Chronic myeloproliferative diseases|20152417|2011
<1|3.1|7.9|5.1|20|I(c) Chronic myeloproliferative diseases|3927716|2011
1-4|1.2|2.6|1.8|29|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|16014682|2011
10-14|0.6|1.4|0.9|19|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20532278|2011
15-19|0.7|1.6|1.1|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21488037|2011
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20152417|2011
<1|3.7|8.8|5.9|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3927716|2011
1-4|1.2|2.6|1.8|29|I(e) Unspecified and other specified leukemias|16014682|2011
10-14|0.6|1.6|1.0|21|I(e) Unspecified and other specified leukemias|20532278|2011
15-19|0.9|1.9|1.3|28|I(e) Unspecified and other specified leukemias|21488037|2011
5-9|1.1|2.3|1.6|33|I(e) Unspecified and other specified leukemias|20152417|2011
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3927716|2011
1-4|13.2|17.0|15.0|240|II Lymphomas and reticuloendothelial neoplasms|16014682|2011
10-14|23.5|28.0|25.7|527|II Lymphomas and reticuloendothelial neoplasms|20532278|2011
15-19|47.4|53.5|50.4|1083|II Lymphomas and reticuloendothelial neoplasms|21488037|2011
5-9|16.9|20.7|18.8|378|II Lymphomas and reticuloendothelial neoplasms|20152417|2011
<1|13.9|22.5|17.8|70|II Lymphomas and reticuloendothelial neoplasms|3927716|2011
1-4|~|~|~|~|II(a) Hodgkin lymphomas|16014682|2011
10-14|9.7|12.6|11.1|227|II(a) Hodgkin lymphomas|20532278|2011
15-19|29.2|34.0|31.6|678|II(a) Hodgkin lymphomas|21488037|2011
5-9|2.8|4.4|3.5|71|II(a) Hodgkin lymphomas|20152417|2011
<1|~|~|~|~|II(a) Hodgkin lymphomas|3927716|2011
1-4|3.5|5.7|4.5|72|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|16014682|2011
10-14|7.3|9.8|8.5|174|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20532278|2011
15-19|12.7|16.0|14.3|307|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21488037|2011
5-9|5.5|7.8|6.6|133|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20152417|2011
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3927716|2011
1-4|1.2|2.6|1.8|29|II(c) Burkitt lymphoma|16014682|2011
10-14|2.0|3.5|2.7|55|II(c) Burkitt lymphoma|20532278|2011
15-19|1.6|2.9|2.1|46|II(c) Burkitt lymphoma|21488037|2011
5-9|2.8|4.6|3.6|73|II(c) Burkitt lymphoma|20152417|2011
<1|~|~|~|~|II(c) Burkitt lymphoma|3927716|2011
1-4|6.3|9.0|7.6|121|II(d) Miscellaneous lymphoreticular neoplasms|16014682|2011
10-14|2.5|4.1|3.2|66|II(d) Miscellaneous lymphoreticular neoplasms|20532278|2011
15-19|1.2|2.3|1.7|36|II(d) Miscellaneous lymphoreticular neoplasms|21488037|2011
5-9|3.9|5.9|4.9|98|II(d) Miscellaneous lymphoreticular neoplasms|20152417|2011
<1|11.7|19.7|15.3|60|II(d) Miscellaneous lymphoreticular neoplasms|3927716|2011
1-4|~|~|~|~|II(e) Unspecified lymphomas|16014682|2011
10-14|~|~|~|~|II(e) Unspecified lymphomas|20532278|2011
15-19|0.4|1.2|0.7|16|II(e) Unspecified lymphomas|21488037|2011
5-9|~|~|~|~|II(e) Unspecified lymphomas|20152417|2011
<1|~|~|~|~|II(e) Unspecified lymphomas|3927716|2011
1-4|42.2|48.9|45.5|728|III CNS and misc intracranial and intraspinal neoplasms|16014682|2011
10-14|25.8|30.4|28.0|575|III CNS and misc intracranial and intraspinal neoplasms|20532278|2011
15-19|23.1|27.3|25.1|540|III CNS and misc intracranial and intraspinal neoplasms|21488037|2011
5-9|32.8|38.1|35.4|713|III CNS and misc intracranial and intraspinal neoplasms|20152417|2011
<1|28.8|40.7|34.4|135|III CNS and misc intracranial and intraspinal neoplasms|3927716|2011
1-4|5.1|7.6|6.2|100|III(a) Ependymomas and choroid plexus tumor|16014682|2011
10-14|1.3|2.5|1.9|38|III(a) Ependymomas and choroid plexus tumor|20532278|2011
15-19|0.8|1.8|1.2|26|III(a) Ependymomas and choroid plexus tumor|21488037|2011
5-9|1.5|2.9|2.1|43|III(a) Ependymomas and choroid plexus tumor|20152417|2011
<1|4.9|10.6|7.4|29|III(a) Ependymomas and choroid plexus tumor|3927716|2011
1-4|19.9|24.5|22.1|354|III(b) Astrocytomas|16014682|2011
10-14|14.1|17.5|15.7|323|III(b) Astrocytomas|20532278|2011
15-19|13.1|16.4|14.7|316|III(b) Astrocytomas|21488037|2011
5-9|16.3|20.1|18.2|366|III(b) Astrocytomas|20152417|2011
<1|7.1|13.6|9.9|39|III(b) Astrocytomas|3927716|2011
1-4|9.2|12.5|10.7|172|III(c) Intracranial and intraspinal embryonal tumors|16014682|2011
10-14|2.7|4.4|3.5|72|III(c) Intracranial and intraspinal embryonal tumors|20532278|2011
15-19|2.7|4.3|3.4|74|III(c) Intracranial and intraspinal embryonal tumors|21488037|2011
5-9|5.7|8.0|6.8|137|III(c) Intracranial and intraspinal embryonal tumors|20152417|2011
<1|8.1|15.0|11.2|44|III(c) Intracranial and intraspinal embryonal tumors|3927716|2011
1-4|4.4|6.8|5.5|88|III(d) Other gliomas|16014682|2011
10-14|4.8|6.9|5.8|119|III(d) Other gliomas|20532278|2011
15-19|4.0|5.9|4.8|104|III(d) Other gliomas|21488037|2011
5-9|6.3|8.7|7.4|150|III(d) Other gliomas|20152417|2011
<1|2.5|6.9|4.3|17|III(d) Other gliomas|3927716|2011
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|16014682|2011
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20532278|2011
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21488037|2011
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20152417|2011
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3927716|2011
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|16014682|2011
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20532278|2011
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21488037|2011
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20152417|2011
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3927716|2011
1-4|19.5|24.1|21.7|348|IV Neuroblastoma and other peripheral nervous cell tumors|16014682|2011
10-14|0.9|1.9|1.3|27|IV Neuroblastoma and other peripheral nervous cell tumors|20532278|2011
15-19|0.4|1.2|0.7|16|IV Neuroblastoma and other peripheral nervous cell tumors|21488037|2011
5-9|3.7|5.6|4.6|92|IV Neuroblastoma and other peripheral nervous cell tumors|20152417|2011
<1|48.6|63.7|55.8|219|IV Neuroblastoma and other peripheral nervous cell tumors|3927716|2011
1-4|19.3|23.9|21.5|345|IV(a) Neuroblastoma and ganglioneuroblastoma|16014682|2011
10-14|0.6|1.5|1.0|20|IV(a) Neuroblastoma and ganglioneuroblastoma|20532278|2011
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21488037|2011
5-9|3.5|5.4|4.4|89|IV(a) Neuroblastoma and ganglioneuroblastoma|20152417|2011
<1|48.6|63.7|55.8|219|IV(a) Neuroblastoma and ganglioneuroblastoma|3927716|2011
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|16014682|2011
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20532278|2011
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21488037|2011
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20152417|2011
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3927716|2011
1-4|9.8|13.2|11.4|183|IX Soft tissue and other extraosseous sarcomas|16014682|2011
10-14|10.5|13.6|12.0|246|IX Soft tissue and other extraosseous sarcomas|20532278|2011
15-19|13.6|17.0|15.2|327|IX Soft tissue and other extraosseous sarcomas|21488037|2011
5-9|7.0|9.5|8.2|165|IX Soft tissue and other extraosseous sarcomas|20152417|2011
<1|16.6|25.9|20.9|82|IX Soft tissue and other extraosseous sarcomas|3927716|2011
1-4|7.0|9.8|8.3|133|IX(a) Rhabdomyosarcomas|16014682|2011
10-14|2.8|4.5|3.6|74|IX(a) Rhabdomyosarcomas|20532278|2011
15-19|2.5|4.1|3.3|70|IX(a) Rhabdomyosarcomas|21488037|2011
5-9|3.3|5.2|4.2|84|IX(a) Rhabdomyosarcomas|20152417|2011
<1|4.5|10.0|6.9|27|IX(a) Rhabdomyosarcomas|3927716|2011
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|16014682|2011
10-14|0.7|1.7|1.1|23|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20532278|2011
15-19|1.4|2.7|2.0|43|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21488037|2011
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20152417|2011
<1|3.1|7.9|5.1|20|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3927716|2011
1-4|~|~|~|~|IX(c) Kaposi sarcoma|16014682|2011
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20532278|2011
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21488037|2011
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20152417|2011
<1|~|~|~|~|IX(c) Kaposi sarcoma|3927716|2011
1-4|1.3|2.7|1.9|31|IX(d) Other specified soft tissue sarcomas|16014682|2011
10-14|4.6|6.7|5.6|115|IX(d) Other specified soft tissue sarcomas|20532278|2011
15-19|6.8|9.2|7.9|170|IX(d) Other specified soft tissue sarcomas|21488037|2011
5-9|2.1|3.6|2.7|55|IX(d) Other specified soft tissue sarcomas|20152417|2011
<1|3.9|9.1|6.1|24|IX(d) Other specified soft tissue sarcomas|3927716|2011
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|16014682|2011
10-14|1.1|2.3|1.7|34|IX(e) Unspecified soft tissue sarcomas|20532278|2011
15-19|1.3|2.5|1.8|39|IX(e) Unspecified soft tissue sarcomas|21488037|2011
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|20152417|2011
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3927716|2011
1-4|~|~|~|~|Not classified by ICCC|16014682|2011
10-14|~|~|~|~|Not classified by ICCC|20532278|2011
15-19|~|~|~|~|Not classified by ICCC|21488037|2011
5-9|~|~|~|~|Not classified by ICCC|20152417|2011
<1|~|~|~|~|Not classified by ICCC|3927716|2011
1-4|7.2|10.1|8.6|137|V Retinoblastoma|16014682|2011
10-14|~|~|~|~|V Retinoblastoma|20532278|2011
15-19|~|~|~|~|V Retinoblastoma|21488037|2011
5-9|~|~|~|~|V Retinoblastoma|20152417|2011
<1|23.7|34.6|28.8|113|V Retinoblastoma|3927716|2011
1-4|19.4|24.0|21.6|346|VI Renal tumors|16014682|2011
10-14|1.1|2.2|1.6|32|VI Renal tumors|20532278|2011
15-19|1.3|2.5|1.8|39|VI Renal tumors|21488037|2011
5-9|4.9|7.1|5.9|119|VI Renal tumors|20152417|2011
<1|11.0|18.8|14.5|57|VI Renal tumors|3927716|2011
1-4|19.3|23.9|21.5|344|VI(a) Nephroblastoma and other nonepithelial renal tumors|16014682|2011
10-14|0.6|1.4|0.9|19|VI(a) Nephroblastoma and other nonepithelial renal tumors|20532278|2011
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21488037|2011
5-9|4.6|6.7|5.6|112|VI(a) Nephroblastoma and other nonepithelial renal tumors|20152417|2011
<1|10.8|18.5|14.3|56|VI(a) Nephroblastoma and other nonepithelial renal tumors|3927716|2011
1-4|~|~|~|~|VI(b) Renal carcinomas|16014682|2011
10-14|~|~|~|~|VI(b) Renal carcinomas|20532278|2011
15-19|1.1|2.2|1.5|33|VI(b) Renal carcinomas|21488037|2011
5-9|~|~|~|~|VI(b) Renal carcinomas|20152417|2011
<1|~|~|~|~|VI(b) Renal carcinomas|3927716|2011
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|16014682|2011
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20532278|2011
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21488037|2011
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20152417|2011
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3927716|2011
1-4|5.4|8.0|6.6|106|VII Hepatic tumors|16014682|2011
10-14|0.8|1.8|1.2|25|VII Hepatic tumors|20532278|2011
15-19|0.5|1.4|0.9|19|VII Hepatic tumors|21488037|2011
5-9|~|~|~|~|VII Hepatic tumors|20152417|2011
<1|9.2|16.5|12.5|49|VII Hepatic tumors|3927716|2011
1-4|5.2|7.8|6.4|103|VII(a) Hepatoblastoma|16014682|2011
10-14|~|~|~|~|VII(a) Hepatoblastoma|20532278|2011
15-19|~|~|~|~|VII(a) Hepatoblastoma|21488037|2011
5-9|~|~|~|~|VII(a) Hepatoblastoma|20152417|2011
<1|8.8|15.9|12.0|47|VII(a) Hepatoblastoma|3927716|2011
1-4|~|~|~|~|VII(b) Hepatic carcinomas|16014682|2011
10-14|0.4|1.3|0.8|16|VII(b) Hepatic carcinomas|20532278|2011
15-19|0.5|1.3|0.8|18|VII(b) Hepatic carcinomas|21488037|2011
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20152417|2011
<1|~|~|~|~|VII(b) Hepatic carcinomas|3927716|2011
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|16014682|2011
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20532278|2011
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21488037|2011
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20152417|2011
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3927716|2011
1-4|1.6|3.2|2.3|37|VIII Malignant bone tumors|16014682|2011
10-14|12.5|15.8|14.1|290|VIII Malignant bone tumors|20532278|2011
15-19|12.0|15.2|13.5|291|VIII Malignant bone tumors|21488037|2011
5-9|4.9|7.1|6.0|120|VIII Malignant bone tumors|20152417|2011
<1|~|~|~|~|VIII Malignant bone tumors|3927716|2011
1-4|~|~|~|~|VIII(a) Osteosarcomas|16014682|2011
10-14|7.3|9.9|8.5|175|VIII(a) Osteosarcomas|20532278|2011
15-19|6.8|9.2|7.9|170|VIII(a) Osteosarcomas|21488037|2011
5-9|2.4|4.1|3.2|64|VIII(a) Osteosarcomas|20152417|2011
<1|~|~|~|~|VIII(a) Osteosarcomas|3927716|2011
1-4|~|~|~|~|VIII(b) Chondrosarcomas|16014682|2011
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20532278|2011
15-19|~|~|~|~|VIII(b) Chondrosarcomas|21488037|2011
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20152417|2011
<1|~|~|~|~|VIII(b) Chondrosarcomas|3927716|2011
1-4|0.9|2.1|1.4|22|VIII(c) Ewing tumor and related sarcomas of bone|16014682|2011
10-14|3.9|5.8|4.8|98|VIII(c) Ewing tumor and related sarcomas of bone|20532278|2011
15-19|3.4|5.1|4.2|90|VIII(c) Ewing tumor and related sarcomas of bone|21488037|2011
5-9|1.8|3.2|2.4|49|VIII(c) Ewing tumor and related sarcomas of bone|20152417|2011
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3927716|2011
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|16014682|2011
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20532278|2011
15-19|~|~|~|~|VIII(d) Other specified malignant bone tumors|21488037|2011
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20152417|2011
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3927716|2011
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|16014682|2011
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20532278|2011
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21488037|2011
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20152417|2011
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3927716|2011
1-4|2.5|4.4|3.4|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|16014682|2011
10-14|5.7|8.0|6.8|140|X Germ cell, trophoblastic tumors & neoplasms of gonads|20532278|2011
15-19|25.3|29.8|27.5|591|X Germ cell, trophoblastic tumors & neoplasms of gonads|21488037|2011
5-9|2.2|3.7|2.9|58|X Germ cell, trophoblastic tumors & neoplasms of gonads|20152417|2011
<1|11.4|19.4|15.0|59|X Germ cell, trophoblastic tumors & neoplasms of gonads|3927716|2011
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|16014682|2011
10-14|2.1|3.5|2.7|56|X(a) Intracranial & intraspinal germ cell tumors|20532278|2011
15-19|1.5|2.8|2.1|45|X(a) Intracranial & intraspinal germ cell tumors|21488037|2011
5-9|0.7|1.7|1.1|22|X(a) Intracranial & intraspinal germ cell tumors|20152417|2011
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3927716|2011
1-4|1.1|2.4|1.6|26|X(b) Malignant extracranial & extragonadal germ cell tumors|16014682|2011
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20532278|2011
15-19|1.3|2.5|1.9|40|X(b) Malignant extracranial & extragonadal germ cell tumors|21488037|2011
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20152417|2011
<1|7.3|13.9|10.2|40|X(b) Malignant extracranial & extragonadal germ cell tumors|3927716|2011
1-4|0.7|1.9|1.2|19|X(c) Malignant gonadal germ cell tumors|16014682|2011
10-14|2.7|4.4|3.5|72|X(c) Malignant gonadal germ cell tumors|20532278|2011
15-19|20.0|24.0|22.0|472|X(c) Malignant gonadal germ cell tumors|21488037|2011
5-9|0.9|2.0|1.4|28|X(c) Malignant gonadal germ cell tumors|20152417|2011
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3927716|2011
1-4|~|~|~|~|X(d) Gonadal carcinomas|16014682|2011
10-14|~|~|~|~|X(d) Gonadal carcinomas|20532278|2011
15-19|0.5|1.4|0.9|19|X(d) Gonadal carcinomas|21488037|2011
5-9|~|~|~|~|X(d) Gonadal carcinomas|20152417|2011
<1|~|~|~|~|X(d) Gonadal carcinomas|3927716|2011
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|16014682|2011
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20532278|2011
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21488037|2011
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20152417|2011
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3927716|2011
1-4|1.1|2.4|1.6|26|XI Other malignant epithelial neoplasms and malignant melanomas|16014682|2011
10-14|14.5|18.1|16.2|333|XI Other malignant epithelial neoplasms and malignant melanomas|20532278|2011
15-19|49.6|55.7|52.6|1130|XI Other malignant epithelial neoplasms and malignant melanomas|21488037|2011
5-9|3.4|5.3|4.3|86|XI Other malignant epithelial neoplasms and malignant melanomas|20152417|2011
<1|4.1|9.4|6.4|25|XI Other malignant epithelial neoplasms and malignant melanomas|3927716|2011
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|16014682|2011
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20532278|2011
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21488037|2011
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20152417|2011
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3927716|2011
1-4|~|~|~|~|XI(b) Thyroid carcinomas|16014682|2011
10-14|6.9|9.5|8.1|167|XI(b) Thyroid carcinomas|20532278|2011
15-19|24.8|29.3|27.0|580|XI(b) Thyroid carcinomas|21488037|2011
5-9|0.9|1.9|1.3|27|XI(b) Thyroid carcinomas|20152417|2011
<1|~|~|~|~|XI(b) Thyroid carcinomas|3927716|2011
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|16014682|2011
10-14|0.5|1.3|0.8|17|XI(c) Nasopharyngeal carcinomas|20532278|2011
15-19|1.1|2.2|1.5|33|XI(c) Nasopharyngeal carcinomas|21488037|2011
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20152417|2011
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3927716|2011
1-4|~|~|~|~|XI(d) Malignant melanomas|16014682|2011
10-14|2.4|4.0|3.2|65|XI(d) Malignant melanomas|20532278|2011
15-19|9.6|12.5|11.0|236|XI(d) Malignant melanomas|21488037|2011
5-9|1.2|2.4|1.7|35|XI(d) Malignant melanomas|20152417|2011
<1|~|~|~|~|XI(d) Malignant melanomas|3927716|2011
1-4|~|~|~|~|XI(e) Skin carcinomas|16014682|2011
10-14|~|~|~|~|XI(e) Skin carcinomas|20532278|2011
15-19|~|~|~|~|XI(e) Skin carcinomas|21488037|2011
5-9|~|~|~|~|XI(e) Skin carcinomas|20152417|2011
<1|~|~|~|~|XI(e) Skin carcinomas|3927716|2011
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|16014682|2011
10-14|3.1|4.8|3.9|80|XI(f) Other and unspecified carcinomas|20532278|2011
