AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
15-19|8.3|9.2|8.7|1779|Incidence|20348212|Other|2002
5-9|1.4|1.7|1.6|307|Incidence|19633713|Other|2002
<1|9.9|12.0|10.9|426|Incidence|3903658|Other|2002
1-4|1.0|1.4|1.2|183|Incidence|15288703|Soft Tissue|2002
10-14|0.7|1.0|0.8|172|Incidence|21008244|Soft Tissue|2002
15-19|0.9|1.2|1.1|220|Incidence|20348212|Soft Tissue|2002
5-9|0.5|0.8|0.6|124|Incidence|19633713|Soft Tissue|2002
<1|2.7|3.8|3.2|125|Incidence|3903658|Soft Tissue|2002
1-4|0.2|0.3|0.2|34|Mortality|15477731|Acute Lymphocytic|2002
10-14|0.3|0.5|0.4|91|Mortality|21261421|Acute Lymphocytic|2002
15-19|0.4|0.6|0.5|106|Mortality|20610370|Acute Lymphocytic|2002
5-9|0.3|0.5|0.4|82|Mortality|19872417|Acute Lymphocytic|2002
<1|~|~|~|~|Mortality|3951461|Acute Lymphocytic|2002
1-4|0.2|0.4|0.3|46|Mortality|15477731|Acute Myeloid|2002
10-14|0.2|0.3|0.2|44|Mortality|21261421|Acute Myeloid|2002
15-19|0.3|0.5|0.4|78|Mortality|20610370|Acute Myeloid|2002
5-9|0.1|0.2|0.2|34|Mortality|19872417|Acute Myeloid|2002
<1|~|~|~|~|Mortality|3951461|Acute Myeloid|2002
1-4|~|~|~|~|Mortality|15477731|Bones and Joints|2002
10-14|0.2|0.4|0.3|61|Mortality|21261421|Bones and Joints|2002
15-19|0.4|0.6|0.5|94|Mortality|20610370|Bones and Joints|2002
5-9|0.1|0.2|0.1|21|Mortality|19872417|Bones and Joints|2002
<1|~|~|~|~|Mortality|3951461|Bones and Joints|2002
1-4|0.5|0.8|0.7|104|Mortality|15477731|Leukemia|2002
10-14|0.7|0.9|0.8|168|Mortality|21261421|Leukemia|2002
15-19|1.0|1.3|1.1|237|Mortality|20610370|Leukemia|2002
5-9|0.6|0.9|0.7|148|Mortality|19872417|Leukemia|2002
<1|0.3|0.8|0.5|21|Mortality|3951461|Leukemia|2002
1-4|0.7|1.0|0.9|136|Mortality|15477731|Other|2002
10-14|0.3|0.5|0.4|78|Mortality|21261421|Other|2002
15-19|0.6|0.8|0.7|148|Mortality|20610370|Other|2002
5-9|0.4|0.6|0.5|97|Mortality|19872417|Other|2002
<1|0.5|1.1|0.8|31|Mortality|3951461|Other|2002
1-4|0.1|0.2|0.1|23|Mortality|15477731|Soft Tissue|2002
10-14|0.1|0.3|0.2|41|Mortality|21261421|Soft Tissue|2002
15-19|0.2|0.4|0.3|58|Mortality|20610370|Soft Tissue|2002
5-9|0.1|0.2|0.1|28|Mortality|19872417|Soft Tissue|2002
<1|~|~|~|~|Mortality|3951461|Soft Tissue|2002
1-4|6.4|7.2|6.8|1064|Incidence|15616575|Acute Lymphocytic|2003
10-14|1.6|1.9|1.7|370|Incidence|21415353|Acute Lymphocytic|2003
15-19|1.3|1.6|1.4|301|Incidence|20797166|Acute Lymphocytic|2003
5-9|3.0|3.5|3.3|638|Incidence|19620851|Acute Lymphocytic|2003
<1|1.5|2.4|1.9|77|Incidence|3975871|Acute Lymphocytic|2003
1-4|0.7|1.0|0.9|134|Incidence|15616575|Acute Myeloid|2003
10-14|0.5|0.7|0.6|132|Incidence|21415353|Acute Myeloid|2003
15-19|0.7|0.9|0.8|168|Incidence|20797166|Acute Myeloid|2003
5-9|0.3|0.5|0.4|75|Incidence|19620851|Acute Myeloid|2003
<1|1.0|1.8|1.4|55|Incidence|3975871|Acute Myeloid|2003
1-4|0.2|0.3|0.2|36|Incidence|15616575|Bones and Joints|2003
10-14|1.2|1.5|1.3|285|Incidence|21415353|Bones and Joints|2003
15-19|1.3|1.7|1.5|312|Incidence|20797166|Bones and Joints|2003
5-9|0.4|0.6|0.5|91|Incidence|19620851|Bones and Joints|2003
<1|~|~|~|~|Incidence|3975871|Bones and Joints|2003
1-4|7.7|8.6|8.1|1267|Incidence|15616575|Leukemia|2003
10-14|2.3|2.8|2.6|547|Incidence|21415353|Leukemia|2003
15-19|2.5|3.0|2.7|567|Incidence|20797166|Leukemia|2003
5-9|3.6|4.1|3.9|757|Incidence|19620851|Leukemia|2003
<1|3.8|5.1|4.4|176|Incidence|3975871|Leukemia|2003
1-4|4.0|4.7|4.3|674|Incidence|15616575|Other|2003
10-14|2.7|3.2|2.9|627|Incidence|21415353|Other|2003
15-19|8.3|9.1|8.7|1806|Incidence|20797166|Other|2003
5-9|1.2|1.5|1.3|260|Incidence|19620851|Other|2003
<1|10.7|12.9|11.7|467|Incidence|3975871|Other|2003
1-4|0.9|1.2|1.1|164|Incidence|15616575|Soft Tissue|2003
10-14|0.7|1.0|0.9|186|Incidence|21415353|Soft Tissue|2003
15-19|1.1|1.4|1.2|253|Incidence|20797166|Soft Tissue|2003
5-9|0.4|0.6|0.5|105|Incidence|19620851|Soft Tissue|2003
<1|2.6|3.7|3.1|124|Incidence|3975871|Soft Tissue|2003
1-4|0.3|0.5|0.4|61|Mortality|15616575|Acute Lymphocytic|2003
10-14|0.3|0.5|0.4|87|Mortality|21415353|Acute Lymphocytic|2003
15-19|0.3|0.5|0.4|82|Mortality|20797166|Acute Lymphocytic|2003
5-9|0.4|0.5|0.4|87|Mortality|19620851|Acute Lymphocytic|2003
<1|~|~|~|~|Mortality|3975871|Acute Lymphocytic|2003
1-4|0.2|0.3|0.2|38|Mortality|15616575|Acute Myeloid|2003
10-14|0.2|0.3|0.3|55|Mortality|21415353|Acute Myeloid|2003
15-19|0.2|0.4|0.3|65|Mortality|20797166|Acute Myeloid|2003
5-9|0.1|0.3|0.2|39|Mortality|19620851|Acute Myeloid|2003
<1|~|~|~|~|Mortality|3975871|Acute Myeloid|2003
1-4|~|~|~|~|Mortality|15616575|Bones and Joints|2003
10-14|0.2|0.4|0.3|64|Mortality|21415353|Bones and Joints|2003
15-19|0.4|0.6|0.5|104|Mortality|20797166|Bones and Joints|2003
5-9|~|~|~|~|Mortality|19620851|Bones and Joints|2003
<1|~|~|~|~|Mortality|3975871|Bones and Joints|2003
1-4|0.7|1.0|0.9|133|Mortality|15616575|Leukemia|2003
10-14|0.7|1.0|0.9|186|Mortality|21415353|Leukemia|2003
15-19|0.8|1.0|0.9|183|Mortality|20797166|Leukemia|2003
5-9|0.7|0.9|0.8|156|Mortality|19620851|Leukemia|2003
<1|0.5|1.1|0.8|30|Mortality|3975871|Leukemia|2003
1-4|0.6|0.9|0.8|118|Mortality|15616575|Other|2003
10-14|0.3|0.4|0.3|69|Mortality|21415353|Other|2003
15-19|0.5|0.8|0.7|136|Mortality|20797166|Other|2003
5-9|0.4|0.6|0.5|101|Mortality|19620851|Other|2003
<1|0.4|0.9|0.6|23|Mortality|3975871|Other|2003
1-4|~|~|~|~|Mortality|15616575|Soft Tissue|2003
10-14|0.1|0.2|0.2|36|Mortality|21415353|Soft Tissue|2003
15-19|0.3|0.4|0.3|68|Mortality|20797166|Soft Tissue|2003
5-9|0.1|0.2|0.1|26|Mortality|19620851|Soft Tissue|2003
<1|~|~|~|~|Mortality|3975871|Soft Tissue|2003
1-4|7.3|8.1|7.7|1215|Incidence|15771627|Acute Lymphocytic|2004
10-14|1.7|2.1|1.9|400|Incidence|21411680|Acute Lymphocytic|2004
15-19|1.4|1.8|1.6|340|Incidence|21102552|Acute Lymphocytic|2004
5-9|3.0|3.5|3.3|636|Incidence|19454237|Acute Lymphocytic|2004
<1|1.6|2.5|2.0|79|Incidence|4014258|Acute Lymphocytic|2004
1-4|0.7|1.0|0.9|140|Incidence|15771627|Acute Myeloid|2004
10-14|0.5|0.7|0.6|134|Incidence|21411680|Acute Myeloid|2004
15-19|0.7|1.0|0.8|175|Incidence|21102552|Acute Myeloid|2004
5-9|0.4|0.6|0.4|87|Incidence|19454237|Acute Myeloid|2004
<1|1.2|2.0|1.5|61|Incidence|4014258|Acute Myeloid|2004
1-4|0.1|0.3|0.2|30|Incidence|15771627|Bones and Joints|2004
10-14|1.3|1.6|1.4|308|Incidence|21411680|Bones and Joints|2004
15-19|1.3|1.7|1.5|317|Incidence|21102552|Bones and Joints|2004
5-9|0.5|0.7|0.6|110|Incidence|19454237|Bones and Joints|2004
<1|~|~|~|~|Incidence|4014258|Bones and Joints|2004
1-4|8.7|9.6|9.1|1442|Incidence|15771627|Leukemia|2004
10-14|2.6|3.1|2.8|604|Incidence|21411680|Leukemia|2004
15-19|2.6|3.1|2.8|601|Incidence|21102552|Leukemia|2004
5-9|3.7|4.2|3.9|768|Incidence|19454237|Leukemia|2004
<1|3.9|5.2|4.5|180|Incidence|4014258|Leukemia|2004
1-4|4.1|4.8|4.5|703|Incidence|15771627|Other|2004
10-14|2.6|3.1|2.8|608|Incidence|21411680|Other|2004
15-19|8.4|9.2|8.8|1857|Incidence|21102552|Other|2004
5-9|1.4|1.8|1.6|305|Incidence|19454237|Other|2004
<1|11.1|13.3|12.2|489|Incidence|4014258|Other|2004
1-4|0.9|1.3|1.1|171|Incidence|15771627|Soft Tissue|2004
10-14|0.8|1.1|1.0|207|Incidence|21411680|Soft Tissue|2004
15-19|1.0|1.3|1.2|251|Incidence|21102552|Soft Tissue|2004
5-9|0.4|0.6|0.5|100|Incidence|19454237|Soft Tissue|2004
<1|2.7|3.9|3.3|131|Incidence|4014258|Soft Tissue|2004
1-4|0.2|0.4|0.3|42|Mortality|15771627|Acute Lymphocytic|2004
10-14|0.3|0.4|0.3|72|Mortality|21411680|Acute Lymphocytic|2004
15-19|0.4|0.5|0.4|93|Mortality|21102552|Acute Lymphocytic|2004
5-9|0.3|0.5|0.4|83|Mortality|19454237|Acute Lymphocytic|2004
<1|~|~|~|~|Mortality|4014258|Acute Lymphocytic|2004
1-4|0.3|0.5|0.3|55|Mortality|15771627|Acute Myeloid|2004
10-14|0.2|0.3|0.2|50|Mortality|21411680|Acute Myeloid|2004
15-19|0.2|0.4|0.3|64|Mortality|21102552|Acute Myeloid|2004
5-9|0.1|0.3|0.2|35|Mortality|19454237|Acute Myeloid|2004
<1|~|~|~|~|Mortality|4014258|Acute Myeloid|2004
1-4|~|~|~|~|Mortality|15771627|Bones and Joints|2004
10-14|0.2|0.3|0.3|57|Mortality|21411680|Bones and Joints|2004
15-19|0.4|0.6|0.5|114|Mortality|21102552|Bones and Joints|2004
5-9|~|~|~|~|Mortality|19454237|Bones and Joints|2004
<1|~|~|~|~|Mortality|4014258|Bones and Joints|2004
1-4|0.6|0.9|0.8|120|Mortality|15771627|Leukemia|2004
10-14|0.6|0.9|0.7|156|Mortality|21411680|Leukemia|2004
15-19|0.9|1.1|1.0|210|Mortality|21102552|Leukemia|2004
5-9|0.7|0.9|0.8|156|Mortality|19454237|Leukemia|2004
<1|0.4|0.9|0.6|23|Mortality|4014258|Leukemia|2004
1-4|0.7|1.0|0.8|130|Mortality|15771627|Other|2004
10-14|0.3|0.4|0.3|69|Mortality|21411680|Other|2004
15-19|0.6|0.8|0.7|151|Mortality|21102552|Other|2004
5-9|0.4|0.6|0.5|98|Mortality|19454237|Other|2004
<1|0.3|0.8|0.5|20|Mortality|4014258|Other|2004
1-4|0.1|0.2|0.2|24|Mortality|15771627|Soft Tissue|2004
10-14|0.1|0.3|0.2|42|Mortality|21411680|Soft Tissue|2004
15-19|0.2|0.4|0.3|66|Mortality|21102552|Soft Tissue|2004
5-9|0.1|0.2|0.1|28|Mortality|19454237|Soft Tissue|2004
<1|~|~|~|~|Mortality|4014258|Soft Tissue|2004
1-4|6.9|7.8|7.4|1171|Incidence|15913007|Acute Lymphocytic|2005
10-14|1.7|2.1|1.9|396|Incidence|21212579|Acute Lymphocytic|2005
15-19|1.4|1.7|1.5|331|Incidence|21486214|Acute Lymphocytic|2005
5-9|2.9|3.4|3.2|611|Incidence|19389067|Acute Lymphocytic|2005
<1|1.5|2.4|1.9|78|Incidence|4004393|Acute Lymphocytic|2005
1-4|0.7|1.0|0.9|137|Incidence|15913007|Acute Myeloid|2005
10-14|0.5|0.7|0.6|125|Incidence|21212579|Acute Myeloid|2005
15-19|0.6|0.8|0.7|154|Incidence|21486214|Acute Myeloid|2005
5-9|0.3|0.5|0.4|75|Incidence|19389067|Acute Myeloid|2005
<1|1.0|1.7|1.3|53|Incidence|4004393|Acute Myeloid|2005
1-4|0.1|0.3|0.2|32|Incidence|15913007|Bones and Joints|2005
10-14|1.1|1.4|1.3|269|Incidence|21212579|Bones and Joints|2005
15-19|1.4|1.7|1.5|329|Incidence|21486214|Bones and Joints|2005
5-9|0.5|0.7|0.6|114|Incidence|19389067|Bones and Joints|2005
<1|~|~|~|~|Incidence|4004393|Bones and Joints|2005
1-4|8.2|9.1|8.7|1381|Incidence|15913007|Leukemia|2005
10-14|2.6|3.1|2.8|601|Incidence|21212579|Leukemia|2005
15-19|2.5|3.0|2.8|594|Incidence|21486214|Leukemia|2005
5-9|3.5|4.1|3.8|732|Incidence|19389067|Leukemia|2005
<1|3.7|5.0|4.3|174|Incidence|4004393|Leukemia|2005
1-4|4.2|4.8|4.5|713|Incidence|15913007|Other|2005
10-14|2.6|3.1|2.9|609|Incidence|21212579|Other|2005
15-19|8.6|9.4|9.0|1940|Incidence|21486214|Other|2005
5-9|1.4|1.8|1.6|310|Incidence|19389067|Other|2005
<1|10.1|12.2|11.1|444|Incidence|4004393|Other|2005
1-4|0.9|1.2|1.1|168|Incidence|15913007|Soft Tissue|2005
10-14|0.7|0.9|0.8|166|Incidence|21212579|Soft Tissue|2005
15-19|1.0|1.3|1.2|248|Incidence|21486214|Soft Tissue|2005
5-9|0.5|0.8|0.7|127|Incidence|19389067|Soft Tissue|2005
<1|3.1|4.4|3.7|149|Incidence|4004393|Soft Tissue|2005
1-4|0.2|0.3|0.3|41|Mortality|15913007|Acute Lymphocytic|2005
10-14|0.3|0.5|0.4|79|Mortality|21212579|Acute Lymphocytic|2005
15-19|0.3|0.5|0.4|79|Mortality|21486214|Acute Lymphocytic|2005
5-9|0.3|0.4|0.3|64|Mortality|19389067|Acute Lymphocytic|2005
<1|~|~|~|~|Mortality|4004393|Acute Lymphocytic|2005
1-4|0.3|0.5|0.4|60|Mortality|15913007|Acute Myeloid|2005
10-14|0.2|0.3|0.2|44|Mortality|21212579|Acute Myeloid|2005
15-19|0.3|0.4|0.3|75|Mortality|21486214|Acute Myeloid|2005
5-9|0.1|0.2|0.1|29|Mortality|19389067|Acute Myeloid|2005
<1|~|~|~|~|Mortality|4004393|Acute Myeloid|2005
1-4|~|~|~|~|Mortality|15913007|Bones and Joints|2005
10-14|0.2|0.4|0.3|67|Mortality|21212579|Bones and Joints|2005
15-19|0.5|0.7|0.6|124|Mortality|21486214|Bones and Joints|2005
5-9|0.1|0.1|0.1|17|Mortality|19389067|Bones and Joints|2005
<1|~|~|~|~|Mortality|4004393|Bones and Joints|2005
1-4|0.6|0.9|0.8|120|Mortality|15913007|Leukemia|2005
10-14|0.6|0.8|0.7|150|Mortality|21212579|Leukemia|2005
15-19|0.9|1.2|1.0|223|Mortality|21486214|Leukemia|2005
5-9|0.5|0.8|0.6|125|Mortality|19389067|Leukemia|2005
<1|0.3|0.8|0.5|22|Mortality|4004393|Leukemia|2005
1-4|0.7|0.9|0.8|127|Mortality|15913007|Other|2005
10-14|0.3|0.5|0.4|82|Mortality|21212579|Other|2005
15-19|0.5|0.7|0.6|120|Mortality|21486214|Other|2005
5-9|0.4|0.6|0.5|90|Mortality|19389067|Other|2005
<1|0.3|0.7|0.5|19|Mortality|4004393|Other|2005
1-4|0.1|0.2|0.1|21|Mortality|15913007|Soft Tissue|2005
10-14|0.1|0.2|0.2|35|Mortality|21212579|Soft Tissue|2005
15-19|0.3|0.5|0.4|80|Mortality|21486214|Soft Tissue|2005
5-9|0.1|0.2|0.1|21|Mortality|19389067|Soft Tissue|2005
<1|~|~|~|~|Mortality|4004393|Soft Tissue|2005
1-4|7.0|7.8|7.4|1171|Incidence|15897145|Acute Lymphocytic|2006
10-14|2.0|2.4|2.2|461|Incidence|21033138|Acute Lymphocytic|2006
15-19|1.5|1.8|1.6|358|Incidence|21807709|Acute Lymphocytic|2006
5-9|2.9|3.5|3.2|624|Incidence|19544688|Acute Lymphocytic|2006
<1|1.8|2.8|2.3|91|Incidence|4041738|Acute Lymphocytic|2006
1-4|0.8|1.1|0.9|147|Incidence|15897145|Acute Myeloid|2006
10-14|0.6|0.8|0.7|142|Incidence|21033138|Acute Myeloid|2006
15-19|0.7|0.9|0.8|176|Incidence|21807709|Acute Myeloid|2006
5-9|0.3|0.5|0.4|82|Incidence|19544688|Acute Myeloid|2006
<1|0.9|1.7|1.3|51|Incidence|4041738|Acute Myeloid|2006
1-4|0.1|0.2|0.2|25|Incidence|15897145|Bones and Joints|2006
10-14|1.1|1.4|1.3|268|Incidence|21033138|Bones and Joints|2006
15-19|1.5|1.8|1.6|354|Incidence|21807709|Bones and Joints|2006
5-9|0.6|0.8|0.7|138|Incidence|19544688|Bones and Joints|2006
<1|~|~|~|~|Incidence|4041738|Bones and Joints|2006
1-4|8.3|9.2|8.7|1384|Incidence|15897145|Leukemia|2006
10-14|3.0|3.5|3.2|674|Incidence|21033138|Leukemia|2006
15-19|2.8|3.2|3.0|652|Incidence|21807709|Leukemia|2006
5-9|3.6|4.1|3.9|755|Incidence|19544688|Leukemia|2006
<1|4.1|5.5|4.8|193|Incidence|4041738|Leukemia|2006
1-4|3.7|4.3|4.0|630|Incidence|15897145|Other|2006
10-14|2.6|3.0|2.8|588|Incidence|21033138|Other|2006
15-19|7.9|8.7|8.3|1814|Incidence|21807709|Other|2006
5-9|1.5|1.9|1.7|325|Incidence|19544688|Other|2006
<1|11.5|13.7|12.5|507|Incidence|4041738|Other|2006
1-4|1.0|1.3|1.1|178|Incidence|15897145|Soft Tissue|2006
10-14|0.7|1.0|0.8|178|Incidence|21033138|Soft Tissue|2006
15-19|0.9|1.2|1.1|232|Incidence|21807709|Soft Tissue|2006
5-9|0.5|0.7|0.6|114|Incidence|19544688|Soft Tissue|2006
<1|2.4|3.5|2.9|119|Incidence|4041738|Soft Tissue|2006
1-4|0.2|0.4|0.3|44|Mortality|15897145|Acute Lymphocytic|2006
10-14|0.3|0.4|0.3|69|Mortality|21033138|Acute Lymphocytic|2006
15-19|0.3|0.5|0.4|92|Mortality|21807709|Acute Lymphocytic|2006
5-9|0.2|0.3|0.3|52|Mortality|19544688|Acute Lymphocytic|2006
<1|~|~|~|~|Mortality|4041738|Acute Lymphocytic|2006
1-4|0.3|0.4|0.3|54|Mortality|15897145|Acute Myeloid|2006
10-14|0.1|0.3|0.2|42|Mortality|21033138|Acute Myeloid|2006
15-19|0.3|0.4|0.3|71|Mortality|21807709|Acute Myeloid|2006
5-9|0.1|0.1|0.1|17|Mortality|19544688|Acute Myeloid|2006
<1|~|~|~|~|Mortality|4041738|Acute Myeloid|2006
1-4|~|~|~|~|Mortality|15897145|Bones and Joints|2006
10-14|0.1|0.2|0.2|37|Mortality|21033138|Bones and Joints|2006
15-19|0.4|0.6|0.5|115|Mortality|21807709|Bones and Joints|2006
5-9|0.1|0.1|0.1|18|Mortality|19544688|Bones and Joints|2006
<1|~|~|~|~|Mortality|4041738|Bones and Joints|2006
1-4|0.6|0.9|0.8|124|Mortality|15897145|Leukemia|2006
10-14|0.6|0.8|0.7|152|Mortality|21033138|Leukemia|2006
15-19|0.8|1.1|0.9|207|Mortality|21807709|Leukemia|2006
5-9|0.4|0.6|0.5|104|Mortality|19544688|Leukemia|2006
<1|0.5|1.1|0.8|31|Mortality|4041738|Leukemia|2006
1-4|0.6|0.8|0.7|108|Mortality|15897145|Other|2006
10-14|0.3|0.4|0.3|68|Mortality|21033138|Other|2006
15-19|0.4|0.6|0.5|117|Mortality|21807709|Other|2006
5-9|0.4|0.6|0.5|96|Mortality|19544688|Other|2006
<1|0.4|0.9|0.6|24|Mortality|4041738|Other|2006
1-4|0.1|0.2|0.1|23|Mortality|15897145|Soft Tissue|2006
10-14|0.1|0.2|0.1|25|Mortality|21033138|Soft Tissue|2006
15-19|0.2|0.4|0.3|60|Mortality|21807709|Soft Tissue|2006
5-9|0.1|0.2|0.2|31|Mortality|19544688|Soft Tissue|2006
<1|~|~|~|~|Mortality|4041738|Soft Tissue|2006
1-4|7.6|8.5|8.1|1287|Incidence|15977965|Acute Lymphocytic|2007
10-14|1.7|2.1|1.9|393|Incidence|20841042|Acute Lymphocytic|2007
15-19|1.5|1.9|1.7|373|Incidence|22067816|Acute Lymphocytic|2007
5-9|3.1|3.7|3.4|667|Incidence|19714611|Acute Lymphocytic|2007
<1|1.5|2.3|1.9|77|Incidence|4147997|Acute Lymphocytic|2007
1-4|0.7|1.0|0.8|132|Incidence|15977965|Acute Myeloid|2007
10-14|0.5|0.8|0.7|136|Incidence|20841042|Acute Myeloid|2007
15-19|0.7|0.9|0.8|169|Incidence|22067816|Acute Myeloid|2007
5-9|0.3|0.5|0.4|86|Incidence|19714611|Acute Myeloid|2007
<1|1.1|1.9|1.4|60|Incidence|4147997|Acute Myeloid|2007
1-4|0.1|0.3|0.2|34|Incidence|15977965|Bones and Joints|2007
10-14|1.2|1.5|1.3|273|Incidence|20841042|Bones and Joints|2007
15-19|1.3|1.7|1.5|327|Incidence|22067816|Bones and Joints|2007
5-9|0.5|0.7|0.6|112|Incidence|19714611|Bones and Joints|2007
<1|~|~|~|~|Incidence|4147997|Bones and Joints|2007
1-4|8.8|9.8|9.3|1486|Incidence|15977965|Leukemia|2007
10-14|2.7|3.1|2.9|602|Incidence|20841042|Leukemia|2007
15-19|2.7|3.2|2.9|651|Incidence|22067816|Leukemia|2007
5-9|3.8|4.3|4.0|797|Incidence|19714611|Leukemia|2007
<1|3.7|5.0|4.3|180|Incidence|4147997|Leukemia|2007
1-4|4.4|5.0|4.7|749|Incidence|15977965|Other|2007
10-14|2.4|2.9|2.7|553|Incidence|20841042|Other|2007
15-19|8.6|9.4|9.0|1989|Incidence|22067816|Other|2007
5-9|1.3|1.7|1.5|292|Incidence|19714611|Other|2007
<1|10.9|13.1|12.0|496|Incidence|4147997|Other|2007
1-4|1.0|1.4|1.2|187|Incidence|15977965|Soft Tissue|2007
10-14|0.7|0.9|0.8|170|Incidence|20841042|Soft Tissue|2007
15-19|1.1|1.4|1.2|271|Incidence|22067816|Soft Tissue|2007
5-9|0.6|0.9|0.7|147|Incidence|19714611|Soft Tissue|2007
<1|3.0|4.2|3.5|147|Incidence|4147997|Soft Tissue|2007
1-4|0.2|0.3|0.2|38|Mortality|15977965|Acute Lymphocytic|2007
10-14|0.3|0.5|0.4|80|Mortality|20841042|Acute Lymphocytic|2007
15-19|0.3|0.5|0.4|82|Mortality|22067816|Acute Lymphocytic|2007
5-9|0.3|0.5|0.4|85|Mortality|19714611|Acute Lymphocytic|2007
<1|~|~|~|~|Mortality|4147997|Acute Lymphocytic|2007
1-4|0.2|0.4|0.3|47|Mortality|15977965|Acute Myeloid|2007
10-14|0.2|0.3|0.2|52|Mortality|20841042|Acute Myeloid|2007
15-19|0.2|0.4|0.3|66|Mortality|22067816|Acute Myeloid|2007
5-9|0.1|0.2|0.1|27|Mortality|19714611|Acute Myeloid|2007
<1|~|~|~|~|Mortality|4147997|Acute Myeloid|2007
1-4|~|~|~|~|Mortality|15977965|Bones and Joints|2007
10-14|0.2|0.3|0.2|48|Mortality|20841042|Bones and Joints|2007
15-19|0.4|0.6|0.5|111|Mortality|22067816|Bones and Joints|2007
5-9|~|~|~|~|Mortality|19714611|Bones and Joints|2007
<1|~|~|~|~|Mortality|4147997|Bones and Joints|2007
1-4|0.5|0.8|0.7|106|Mortality|15977965|Leukemia|2007
10-14|0.7|1.0|0.8|175|Mortality|20841042|Leukemia|2007
15-19|0.8|1.1|0.9|202|Mortality|22067816|Leukemia|2007
5-9|0.6|0.8|0.7|139|Mortality|19714611|Leukemia|2007
<1|0.3|0.8|0.5|21|Mortality|4147997|Leukemia|2007
1-4|0.6|0.9|0.7|115|Mortality|15977965|Other|2007
10-14|0.2|0.4|0.3|62|Mortality|20841042|Other|2007
15-19|0.5|0.7|0.6|133|Mortality|22067816|Other|2007
5-9|0.4|0.6|0.5|103|Mortality|19714611|Other|2007
<1|0.4|0.9|0.6|26|Mortality|4147997|Other|2007
1-4|0.1|0.2|0.1|17|Mortality|15977965|Soft Tissue|2007
10-14|0.1|0.2|0.2|35|Mortality|20841042|Soft Tissue|2007
15-19|0.2|0.3|0.3|58|Mortality|22067816|Soft Tissue|2007
5-9|0.1|0.2|0.1|24|Mortality|19714611|Soft Tissue|2007
<1|~|~|~|~|Mortality|4147997|Soft Tissue|2007
1-4|7.4|8.3|7.9|1269|Incidence|16138392|Acute Lymphocytic|2008
10-14|2.0|2.4|2.2|447|Incidence|20706655|Acute Lymphocytic|2008
15-19|1.5|1.9|1.7|372|Incidence|22210880|Acute Lymphocytic|2008
5-9|3.3|3.8|3.5|704|Incidence|19929602|Acute Lymphocytic|2008
<1|1.6|2.5|2.1|85|Incidence|4132735|Acute Lymphocytic|2008
1-4|0.8|1.1|0.9|150|Incidence|16138392|Acute Myeloid|2008
10-14|0.6|0.8|0.7|136|Incidence|20706655|Acute Myeloid|2008
15-19|0.7|1.0|0.9|190|Incidence|22210880|Acute Myeloid|2008
5-9|0.3|0.5|0.4|85|Incidence|19929602|Acute Myeloid|2008
<1|1.2|2.0|1.5|64|Incidence|4132735|Acute Myeloid|2008
1-4|0.1|0.2|0.2|25|Incidence|16138392|Bones and Joints|2008
10-14|1.2|1.5|1.3|270|Incidence|20706655|Bones and Joints|2008
15-19|1.3|1.6|1.5|325|Incidence|22210880|Bones and Joints|2008
5-9|0.5|0.7|0.6|121|Incidence|19929602|Bones and Joints|2008
<1|~|~|~|~|Incidence|4132735|Bones and Joints|2008
1-4|8.8|9.7|9.2|1491|Incidence|16138392|Leukemia|2008
10-14|2.9|3.4|3.2|654|Incidence|20706655|Leukemia|2008
15-19|2.8|3.2|3.0|664|Incidence|22210880|Leukemia|2008
5-9|3.9|4.4|4.2|828|Incidence|19929602|Leukemia|2008
<1|3.9|5.3|4.6|189|Incidence|4132735|Leukemia|2008
1-4|4.0|4.6|4.3|688|Incidence|16138392|Other|2008
10-14|2.5|3.0|2.7|566|Incidence|20706655|Other|2008
15-19|8.5|9.3|8.9|1984|Incidence|22210880|Other|2008
5-9|1.4|1.8|1.6|315|Incidence|19929602|Other|2008
<1|11.6|13.8|12.7|525|Incidence|4132735|Other|2008
1-4|1.2|1.6|1.4|220|Incidence|16138392|Soft Tissue|2008
10-14|0.7|1.0|0.8|171|Incidence|20706655|Soft Tissue|2008
15-19|1.0|1.3|1.1|247|Incidence|22210880|Soft Tissue|2008
5-9|0.6|0.8|0.7|143|Incidence|19929602|Soft Tissue|2008
<1|2.8|3.9|3.3|136|Incidence|4132735|Soft Tissue|2008
1-4|0.2|0.4|0.3|42|Mortality|16138392|Acute Lymphocytic|2008
10-14|0.2|0.4|0.3|65|Mortality|20706655|Acute Lymphocytic|2008
15-19|0.3|0.4|0.3|77|Mortality|22210880|Acute Lymphocytic|2008
5-9|0.2|0.4|0.3|57|Mortality|19929602|Acute Lymphocytic|2008
<1|~|~|~|~|Mortality|4132735|Acute Lymphocytic|2008
1-4|0.3|0.4|0.3|54|Mortality|16138392|Acute Myeloid|2008
10-14|0.1|0.3|0.2|41|Mortality|20706655|Acute Myeloid|2008
15-19|0.2|0.3|0.3|56|Mortality|22210880|Acute Myeloid|2008
5-9|0.1|0.2|0.1|26|Mortality|19929602|Acute Myeloid|2008
<1|~|~|~|~|Mortality|4132735|Acute Myeloid|2008
